tf,query,artifact,result_id,bytes,sha256
HIRIP3,HIRIP3 TCR inhibition,meta:PMC2196323,PMC2196323,1660,9e3f26060d9aaf221ffe68650fc3f9961198196ea7bf3f85a1cea34ed81db1cd
HIRIP3,HIRIP3 TCR inhibition,meta:PMC12346228,PMC12346228,2249,ba00994753d57c1ddb2974e1e7bd4944c1ccd9c546523991180552ffe0dfe12a
HIRIP3,HIRIP3 TCR inhibition,meta:PMC11092459,PMC11092459,1947,2ebdd748dbacec944caf5c90529d4f2b70c8aca66338e9bbbe40594a6c21e6d2
HIVEP3,HIVEP3 TCR inhibition,search_stdout,s_3183f53d,5488,ec210432b7d1d58b7bde7c063dd416addd3b66a7ba12ef955b6cf09b27c45c0d
HIVEP3,HIVEP3 TCR inhibition,meta:PMC11237943,PMC11237943,2658,ef2b0971d60bede09b7647342f727212b14aa9cf139297173a4810e66570b283
HIVEP3,HIVEP3 TCR inhibition,meta:PMC8704919,PMC8704919,1224,488c7e939fd6d63f8f825e4d79f1de898919c51ab7d935352d32e683ba07b271
HIVEP3,HIVEP3 TCR inhibition,meta:PMC12346228,PMC12346228,2249,ba00994753d57c1ddb2974e1e7bd4944c1ccd9c546523991180552ffe0dfe12a
HIVEP3,HIVEP3 TCR inhibition,meta:PMC7479152,PMC7479152,1582,2ce55d7c4f84b3734b3fe0f1326817a437fc963f1655c9893900daecca0292a8
HIVEP3,HIVEP3 TCR inhibition,meta:PMC11014665,PMC11014665,2299,8e6f2bea172ade3f2fdef67698f8f9a5e32ed30ef9bbf3047c7c340bfdd4aad3
HIVEP3,HIVEP3 TCR inhibition,meta:PMC10555889,PMC10555889,976,d493bf94f6a5140a4ec920a7886fd80764ed8f320eedc48abfbf57e4e131eba6
HIVEP3,HIVEP3 TCR inhibition,meta:PMC12261488,PMC12261488,1910,e306ecec769efec35a6b937270f0b2d49bd7d7495f63ea3d1bf6db9e6bab1a64
HIVEP3,HIVEP3 TCR inhibition,meta:PMC11253514,PMC11253514,1630,d8160338a1b6d187c9cf8bc751907b774ae901c8dfcf49ddefa641c0e9897db0
HIVEP3,HIVEP3 TCR inhibition,meta:PMC11302870,PMC11302870,2052,51d16b8af871864dc6cc5c43ab626715e0a8bbae5d9ae70676cc8df57d70af15
HIVEP3,HIVEP3 TCR inhibition,meta:PMC4209802,PMC4209802,2097,9872160d8c25bd67ce6b8b8512085a424a72a63c86778471c47e9dd1e49aaed9
HMGN3,HMGN3 TCR inhibition,search_stdout,s_731c3e96,5559,92138f3cad6b803d10ed51c97b3a79770c598b5cc6a499ae5921013a00eb8f81
HMGN3,HMGN3 TCR inhibition,meta:PMC11237943,PMC11237943,2658,ef2b0971d60bede09b7647342f727212b14aa9cf139297173a4810e66570b283
HMGN3,HMGN3 TCR inhibition,meta:PMC4126642,PMC4126642,2206,a241de925c7113a7d96304fd62769c1cf4c6c25157c971c2da386a492f43e5d3
HMGN3,HMGN3 TCR inhibition,meta:PMC12346228,PMC12346228,2249,ba00994753d57c1ddb2974e1e7bd4944c1ccd9c546523991180552ffe0dfe12a
HMGN3,HMGN3 TCR inhibition,meta:PMC6352494,PMC6352494,2334,48484991882fae8a6ba4f2615c6fa031f4d4657f2f986c926c6ff5698ce8440e
HMGN3,HMGN3 TCR inhibition,meta:PMC11014665,PMC11014665,2299,8e6f2bea172ade3f2fdef67698f8f9a5e32ed30ef9bbf3047c7c340bfdd4aad3
HMGN3,HMGN3 TCR inhibition,meta:PMC10499904,PMC10499904,1928,bae810ad743d9e2ab4e402f1af61b18399187028d90fef23a44fc5ab7a66ea3f
HMGN3,HMGN3 TCR inhibition,meta:PMC12261488,PMC12261488,1910,e306ecec769efec35a6b937270f0b2d49bd7d7495f63ea3d1bf6db9e6bab1a64
HMGN3,HMGN3 TCR inhibition,meta:PMC12047442,PMC12047442,1933,d1c97491adb8364096d6fad509e29f06c3ca8ee3a348300f0f0651760e7ddb05
HMGN3,HMGN3 TCR inhibition,meta:PMC11302870,PMC11302870,2052,51d16b8af871864dc6cc5c43ab626715e0a8bbae5d9ae70676cc8df57d70af15
HMGN3,HMGN3 TCR inhibition,meta:PMC8704919,PMC8704919,1224,488c7e939fd6d63f8f825e4d79f1de898919c51ab7d935352d32e683ba07b271
ID2,ID2 TCR inhibition,search_stdout,s_d5ae71e5,5128,1bd96ca5eecbca7030e64beecf2f09f330cf6a1a2ce93e8866cac70b0e8e42cf
ID2,ID2 TCR inhibition,meta:PMC10902300,PMC10902300,2592,b424f878e7ddf1f7e99949962a603f9055fe81433aebca438ad3feac13a7c755
ID2,ID2 TCR inhibition,meta:PMC11208273,PMC11208273,2333,d6a1de1f24ec458a8e2cd11a89fb1c3b1042625ef58427cd149aca99df388391
ID2,ID2 TCR inhibition,meta:PMC8056751,PMC8056751,949,4bec21fcb506719b139b24f02c270f56b7050fea00561ecd0d7c8d8c86cc8d24
